success,path_length,waypoints,time_s,smoothness,label
True,23.34130963729335,14,1.7017605410073884,0.2433100709298017,PRM baseline
True,23.13016665291335,4,1.7064781240187585,0.473166395186173,PRM improved
True,26.959882228138838,55,0.02626300003612414,0.5908196604043252,RRT baseline
True,23.32113630057569,7,0.10885475005488843,0.31265921744300207,RRT improved
True,23.965273798357657,11,1.709453040966764,0.2536329197123082,PRM baseline
True,23.90497249922504,5,1.7151465409551747,0.510359386754173,PRM improved
True,25.89027382924878,53,0.032867625006474555,0.44699027571245364,RRT baseline
True,23.513592000224097,7,0.11667970800772309,0.42859840833613205,RRT improved
True,23.5504601813998,12,1.8242909589898773,0.2887360463434064,PRM baseline
True,23.30405418562688,4,1.827049208979588,0.5109028299424025,PRM improved
True,25.72946810861761,53,0.15688433300238103,0.4360239321548309,RRT baseline
True,23.08128299356516,4,0.3381414159666747,0.49565969633695495,RRT improved
True,24.12396102648681,9,1.7025606660172343,0.21960149121744205,PRM baseline
True,24.029147412993243,4,1.7061736659961753,0.5221932780358964,PRM improved
True,28.50506524201524,59,0.024275915988255292,0.605863339471389,RRT baseline
True,23.605114965980214,5,0.14070929097943008,0.6452129918583039,RRT improved
True,23.74645995250174,12,1.694816000002902,0.19706697010958568,PRM baseline
True,23.63845415374538,4,1.6989714169758372,0.525519756211351,PRM improved
True,27.703466901466907,57,0.02804208401357755,0.5643707577953839,RRT baseline
True,23.733217667070992,4,0.2054080840316601,0.5552279579427393,RRT improved
